SP1,SP2,SP3,SP5,SP6,FS1,FS2,EPS1,TS1,TS2,TS3,TS4,VS1,CP,SE,label
162.55,137.33,1.953,8.672,8.612,7.728,9.372,2485.8,51.723,56.305,53.098,47.105,0.631,1.527,70.78,19.759
162.53,137.31,1.883,8.707,8.651,7.567,9.389,2485.8,51.727,56.305,53.109,47.109,0.629,1.513,70.78,19.666
162.53,137.25,1.992,8.724,8.665,7.648,9.347,2485.8,51.805,56.352,53.109,47.105,0.624,1.507,70.636,19.594
162.56,137.09,1.953,8.724,8.663,7.758,9.354,2487.2,51.875,56.402,53.062,47.117,0.629,1.5,70.636,19.568
162.39,137.13,1.836,8.708,8.646,7.619,9.381,2485.4,51.883,56.418,53.078,47.121,0.622,1.502,70.798,19.584
162.52,137.32,2,8.687,8.616,7.721,9.386,2484.2,51.883,56.426,53.062,47.195,0.627,1.482,70.798,19.248
162.37,137.29,1.914,8.674,8.608,7.761,9.388,2485.6,51.898,56.461,53.07,47.207,0.627,1.479,70.985,19.227
162.37,137.21,1.891,8.668,8.615,7.603,9.369,2485.4,51.883,56.473,53.051,47.207,0.625,1.485,70.985,19.216
162.61,137.27,1.898,8.717,8.648,10.973,9.359,2484,51.887,56.48,53.117,47.195,0.615,1.49,81.826,19.358
152.75,127.38,1.969,8.731,8.673,7.779,9.356,2356.2,51.887,56.48,53.055,47.199,0.603,1.476,81.826,19.24
152.78,127.32,2.102,8.703,8.644,7.797,9.392,2350.4,51.875,56.484,53.062,47.105,0.609,1.502,70.061,19.512
152.57,127.27,1.992,8.663,8.611,7.705,9.382,2353.2,51.887,56.469,53.062,47.105,0.609,1.512,70.061,19.504
152.54,127.29,1.953,8.673,8.611,7.724,9.397,2349.8,51.887,56.488,53.055,47.105,0.602,1.511,69.78,19.589
152.69,127.34,2.047,8.696,8.631,7.763,9.392,2348.2,51.883,56.473,53.109,47.102,0.596,1.51,69.78,19.483
152.56,127.27,1.883,8.714,8.653,7.697,9.378,2351.4,51.883,56.484,53.121,47.109,0.59,1.52,69.808,19.623
152.53,127.29,1.937,8.729,8.672,7.623,9.361,2351.8,51.875,56.473,53.121,47.195,0.6,1.492,69.808,19.336
152.51,126.96,1.922,8.698,8.638,7.569,9.371,2351.6,51.883,56.473,53.105,47.187,0.592,1.497,69.597,19.41
152.57,127.13,2.008,8.67,8.612,7.762,9.408,2353,51.871,56.473,53.117,47.184,0.591,1.496,69.597,19.41
152.53,127.12,1.937,8.672,8.602,9.491,9.403,2349.8,51.875,56.473,53.117,47.199,0.582,1.495,70.634,19.41
147.44,121.99,2.117,8.697,8.626,7.839,9.373,2285.6,51.883,56.473,53.109,47.184,0.582,1.496,70.634,19.4
147.37,122.02,2.023,8.701,8.642,7.837,9.385,2285.4,51.875,56.488,53.109,47.121,0.581,1.512,70.127,19.63
147.93,122.53,2.008,8.723,8.666,7.826,9.392,2285.6,51.793,56.48,53.117,47.117,0.58,1.51,70.127,19.669
147.74,122.41,2.133,8.703,8.644,7.938,9.363,2285.6,51.797,56.484,53.109,47.105,0.588,1.511,70.758,19.617
147.77,122.12,2.008,8.658,8.602,7.888,9.374,2285.6,51.793,56.488,53.109,47.105,0.586,1.523,70.758,19.687
147.45,122.04,1.945,8.668,8.613,7.794,9.383,2285.4,51.805,56.445,53.148,47.105,0.582,1.52,69.531,19.666
147.77,122.41,2.008,8.687,8.624,7.779,9.412,2281,51.793,56.457,53.109,47.199,0.575,1.497,69.531,19.405
147.69,122.36,1.977,8.7,8.644,7.798,9.368,2283.6,51.727,56.461,53.098,47.184,0.573,1.496,69.288,19.431
147.5,122.08,1.945,8.708,8.656,7.733,9.363,2283.2,51.793,56.469,53.109,47.195,0.576,1.494,69.288,19.456
147.45,121.98,1.977,8.705,8.649,7.738,9.349,2282.2,51.805,56.445,53.121,47.16,0.586,1.501,69.117,19.512
147.66,122.14,1.969,8.683,8.623,7.756,9.378,2283.8,51.73,56.473,53.187,47.156,0.622,1.523,69.117,19.728
189.95,0.062,0,8.677,8.626,0,9.401,2778.8,51.738,56.426,53.191,47.078,0.658,1.543,0,19.935
190.31,0,0,8.682,8.618,0,9.387,2846.4,51.66,56.402,53.215,47.074,0.698,1.553,0,20.017
190.31,0,0,8.686,8.623,0.001,9.368,2848,51.543,56.363,53.215,47.082,0.699,1.56,0,20.073
190.33,0,0,8.708,8.653,0.007,9.354,2848,51.551,56.32,53.211,47.066,0.706,1.551,0,19.996
190.31,0,0,8.69,8.643,0.001,9.367,2849.4,51.426,56.25,53.203,47.094,0.711,1.55,0,19.926
190.33,0,0.016,8.676,8.621,0,9.394,2851,51.391,56.238,53.109,47.168,0.831,1.524,0,19.746
190.22,0,0,8.665,8.609,0,9.395,2843.6,51.312,56.238,53.187,47.172,0.973,1.523,0,19.754
189.94,0,0,8.675,8.623,0.003,9.379,2843.4,51.266,56.172,53.191,47.168,0.995,1.523,0,19.68
190.33,0,0,8.705,8.651,0.003,9.375,2849.2,51.219,56.145,53.199,47.18,0.951,1.515,72.178,19.575
149.34,121.76,3.203,8.717,8.658,11.246,9.352,2404,51.23,56.117,53.199,47.184,0.833,1.519,72.178,19.567
142.59,117.03,2.047,8.705,8.642,7.842,9.372,2218,51.133,56.129,53.191,47.117,0.743,1.539,68.82,19.907
142.85,117.29,2.117,8.69,8.624,7.806,9.37,2219.4,51.23,56.121,53.203,47.109,0.689,1.54,68.82,19.864
142.63,117.18,2.008,8.665,8.604,7.781,9.378,2217.6,51.23,56.156,53.203,47.117,0.654,1.54,68.724,19.807
142.68,117.28,2.047,8.683,8.625,7.804,9.385,2219.4,51.305,56.141,53.199,47.117,0.628,1.535,68.724,19.817
142.42,117,1.992,8.691,8.627,7.821,9.385,2219.6,51.398,56.129,53.281,47.109,0.618,1.557,68.66,20.061
142.8,117.36,2.062,8.715,8.653,7.834,9.354,2216,51.437,56.195,53.277,47.117,0.614,1.558,68.66,20.046
142.47,117,2,8.717,8.641,7.779,9.35,2216,51.473,56.227,53.293,47.195,0.607,1.534,68.569,19.799
142.68,117.24,1.937,8.705,8.643,7.814,9.368,2216,51.465,56.211,53.285,47.195,0.603,1.537,68.569,19.802
142.39,117.05,1.969,8.684,8.632,5.354,9.392,2216.4,51.555,56.234,53.348,47.187,0.618,1.542,63.436,19.82
152.88,127.42,2.109,8.689,8.639,7.664,9.385,2353.6,51.637,56.215,53.312,47.117,0.611,1.569,63.436,20.167
152.84,127.29,1.898,8.719,8.663,7.628,9.364,2352.2,51.648,56.227,53.32,47.105,0.614,1.574,69.967,20.314
152.92,127.57,1.922,8.738,8.679,7.786,9.375,2355.2,51.672,56.254,53.305,47.109,0.626,1.578,69.967,20.162
152.81,127.34,2,8.701,8.645,7.75,9.369,2354.8,51.727,56.242,53.332,47.066,0.62,1.573,69.79,20.145
152.79,127.34,2.055,8.7,8.637,7.716,9.368,2353.8,51.727,56.305,53.332,47.109,0.619,1.564,69.79,20.162
152.87,127.39,2.055,8.677,8.612,7.812,9.422,2354,51.727,56.27,53.285,47.109,0.624,1.568,69.876,20.157
152.76,127.34,1.937,8.689,8.616,7.809,9.372,2353.6,51.727,56.324,53.293,47.117,0.623,1.56,69.876,20.051
152.92,127.49,2.047,8.698,8.632,7.781,9.394,2352,51.73,56.324,53.281,47.199,0.622,1.542,69.964,19.797
152.91,127.43,1.922,8.738,8.679,7.647,9.394,2353.4,51.816,56.316,53.293,47.207,0.616,1.532,69.964,19.772
152.75,127.49,1.969,8.739,8.676,4.608,9.396,2352,51.793,56.344,53.281,47.195,0.622,1.533,56.919,19.772
162.69,137.38,2.078,8.712,8.65,7.716,9.389,2483.2,51.797,56.391,53.297,47.199,0.631,1.513,56.919,19.562
162.72,137.32,2.086,8.688,8.625,7.66,9.392,2487.6,51.793,56.398,53.203,47.109,0.632,1.536,70.931,19.925
162.77,137.41,2.102,8.687,8.63,7.631,9.381,2487.4,51.875,56.398,53.199,47.121,0.632,1.537,70.931,19.818
162.69,137.33,1.898,8.69,8.629,7.727,9.382,2489.2,51.887,56.445,53.203,47.141,0.627,1.538,70.903,19.856
162.74,137.37,2,8.718,8.654,7.578,9.364,2486,51.875,56.469,53.187,47.121,0.632,1.537,70.903,19.836
162.64,137.56,1.937,8.71,8.648,7.708,9.368,2487.4,51.875,56.484,53.191,47.121,0.629,1.539,70.817,19.876
162.52,137.17,1.883,8.717,8.651,7.699,9.354,2485.6,51.887,56.484,53.203,47.207,0.644,1.515,70.817,19.631
162.63,137.32,1.867,8.686,8.623,7.558,9.377,2485.4,51.969,56.488,53.211,47.207,0.638,1.51,70.728,19.583
162.58,137.29,1.914,8.653,8.599,7.789,9.387,2486,51.953,56.473,53.203,47.199,0.629,1.518,70.728,19.58
162.52,137.22,1.898,8.691,8.627,11.263,9.382,2485.8,51.953,56.52,53.199,47.199,0.63,1.516,82.465,19.568
152.79,127.19,2.086,8.713,8.658,7.748,9.387,2357.6,51.969,56.551,53.191,47.199,0.632,1.513,82.465,19.659
152.81,127.52,1.977,8.733,8.666,7.71,9.373,2350.6,51.953,56.539,53.184,47.121,0.627,1.53,69.847,19.807
152.62,127.38,2.008,8.718,8.65,7.693,9.356,2352.2,51.953,56.547,53.199,47.105,0.618,1.534,69.847,19.894
152.91,127.3,1.898,8.679,8.616,7.806,9.394,2355,51.957,56.535,53.199,47.102,0.608,1.545,69.79,19.996
152.66,127.27,1.977,8.682,8.621,7.701,9.392,2353.8,51.957,56.484,53.211,47.105,0.605,1.54,69.79,19.905
152.73,127.5,2.078,8.683,8.632,7.944,9.378,2352.2,51.887,56.508,53.199,47.117,0.601,1.539,69.88,19.874
152.92,127.53,1.977,8.682,8.629,7.854,9.361,2353.4,51.887,56.48,53.191,47.121,0.595,1.533,69.88,19.843
152.75,127.38,2.062,8.726,8.675,7.754,9.352,2348.4,51.875,56.496,53.215,47.117,0.595,1.534,69.701,19.945
152.72,127.31,2.109,8.724,8.66,7.676,9.367,2349.6,51.887,56.508,53.203,47.207,0.589,1.516,69.701,19.621
152.81,127.32,2.117,8.691,8.634,9.379,9.361,2351.8,51.883,56.488,53.191,47.199,0.59,1.554,70.545,20.116
147.82,122.38,1.945,8.686,8.629,7.816,9.386,2283.8,51.883,56.48,53.211,47.117,0.589,1.557,70.545,20.091
148.08,122.59,2.031,8.691,8.613,7.854,9.378,2285,51.891,56.484,53.211,47.109,0.582,1.56,70.137,20.147
147.8,122.34,1.914,8.7,8.638,7.905,9.365,2287.2,51.883,56.496,53.203,47.121,0.587,1.548,70.137,19.833
148.02,122.48,2.047,8.717,8.651,7.956,9.392,2287.8,51.875,56.488,53.285,47.117,0.584,1.556,70.667,20.126
147.67,122.23,2.109,8.728,8.655,7.915,9.351,2286.2,51.887,56.484,53.285,47.109,0.6,1.558,70.667,20.139
147.67,122.23,2.008,8.713,8.653,7.813,9.359,2285.2,51.875,56.48,53.285,47.117,0.59,1.556,69.479,20.119
147.73,122.27,2.055,8.66,8.606,7.774,9.392,2284,51.797,56.473,53.285,47.187,0.585,1.536,69.479,19.872
147.59,122.16,2,8.675,8.616,7.769,9.384,2284,51.793,56.473,53.293,47.187,0.586,1.536,69.394,19.867
147.71,122.35,2.023,8.65,8.597,7.783,9.405,2282.2,51.793,56.48,53.293,47.187,0.581,1.522,69.394,19.612
147.56,122.16,1.977,8.698,8.642,7.773,9.379,2285.2,51.797,56.48,53.293,47.266,0.587,1.526,69.349,19.63
147.52,122.3,1.992,8.728,8.66,7.93,9.361,2280.2,51.793,56.473,53.281,47.172,0.623,1.539,69.349,19.956
189.9,0.172,0,8.719,8.655,0.001,9.361,2781,51.727,56.484,53.285,47.172,0.677,1.54,0,19.897
190.25,0,0,8.692,8.623,0.003,9.368,2844,51.699,56.434,53.293,47.172,0.742,1.54,0,19.928
190.27,0,0,8.668,8.594,0.001,9.363,2844.2,51.645,56.406,53.285,47.18,0.736,1.544,0,19.935
190.28,0,0,8.668,8.611,0,9.379,2845.8,51.566,56.309,53.285,47.168,0.739,1.541,0,19.887
190.35,0,0,8.698,8.632,0.001,9.352,2848,51.477,56.293,53.297,47.172,0.742,1.54,0,19.856
190.14,0,0,8.739,8.676,0.003,9.337,2849.2,51.457,56.234,53.285,47.266,0.737,1.519,0,19.655
190.2,0,0,8.717,8.66,0.003,9.376,2847.8,51.406,56.242,53.281,47.25,0.793,1.516,0,19.645
190.12,0,0,8.674,8.613,0.004,9.366,2842.4,51.305,56.242,53.281,47.25,0.786,1.518,0,19.62
190.2,0,0.008,8.67,8.611,0.001,9.373,2847.8,51.312,56.148,53.297,47.281,0.766,1.511,75.905,19.566
149.38,121.73,3.18,8.663,8.616,11.277,9.371,2398.6,51.273,56.141,53.281,47.301,0.697,1.513,75.905,19.543
142.66,117.27,2.008,8.689,8.631,7.793,9.338,2217.6,51.223,56.145,53.285,47.305,0.647,1.516,68.722,19.674
142.66,117.22,1.937,8.72,8.658,7.808,9.354,2215.8,51.23,56.145,53.293,47.289,0.626,1.527,68.722,19.779
142.48,117.02,1.969,8.693,8.642,7.801,9.366,2215.8,51.266,56.16,53.352,47.277,0.608,1.528,68.611,19.758
142.76,117.44,1.969,8.694,8.641,7.808,9.35,2215.8,51.305,56.172,53.336,47.277,0.609,1.518,68.611,19.656
142.36,116.85,1.969,8.653,8.587,7.773,9.352,2214,51.395,56.199,53.324,47.281,0.599,1.523,68.594,19.786
142.8,117.27,1.945,8.66,8.606,7.8,9.361,2217.2,51.437,56.211,53.375,47.277,0.598,1.522,68.594,19.763
142.44,117.13,2.023,8.679,8.62,7.779,9.361,2215.4,51.473,56.223,53.332,47.359,0.589,1.51,68.587,19.544
142.76,117.18,1.992,8.727,8.655,7.801,9.371,2215.8,51.559,56.223,53.336,47.379,0.592,1.504,68.587,19.409
142.46,116.85,1.969,8.725,8.66,5.655,9.358,2216,51.656,56.223,53.324,47.371,0.603,1.512,64.198,19.583
152.78,127.45,1.898,8.691,8.627,7.773,9.363,2353.8,51.637,56.223,53.348,47.367,0.612,1.499,64.198,19.336
152.89,127.6,2,8.688,8.62,7.616,9.378,2355.6,51.711,56.234,53.363,47.367,0.617,1.538,69.853,19.85
152.81,127.31,2.117,8.677,8.618,7.684,9.392,2350.2,51.703,56.223,53.367,47.277,0.623,1.544,69.853,19.878
152.67,127.44,1.969,8.685,8.627,7.766,9.371,2353.2,51.699,56.254,53.367,47.281,0.628,1.542,69.9,19.878
152.7,127.3,2.055,8.702,8.644,7.779,9.338,2353.4,51.742,56.305,53.363,47.277,0.644,1.533,69.9,19.858
152.7,127.3,1.992,8.72,8.665,7.783,9.333,2350,51.73,56.324,53.312,47.293,0.645,1.506,69.88,19.493
152.65,127.37,1.977,8.703,8.655,7.666,9.376,2353.4,51.727,56.332,53.336,47.371,0.632,1.516,69.88,19.524
152.92,127.29,2.227,8.658,8.601,7.729,9.392,2350.2,51.723,56.316,53.34,47.449,0.622,1.487,69.765,19.192
152.89,127.37,2.062,8.676,8.616,7.716,9.387,2355.2,51.738,56.336,53.332,47.453,0.617,1.491,69.765,19.202
152.59,127.39,1.992,8.7,8.63,4.815,9.399,2355,51.758,56.359,53.32,47.453,0.622,1.485,57.278,19.171
162.6,137.19,2.109,8.697,8.635,7.72,9.381,2483.2,51.793,56.398,53.34,47.383,0.649,1.506,57.278,19.47
162.57,137.12,2.078,8.744,8.69,7.626,9.373,2484,51.805,56.402,53.312,47.371,0.65,1.503,70.842,19.429
162.61,137.25,1.859,8.733,8.677,7.758,9.368,2482,51.883,56.402,53.332,47.289,0.65,1.524,70.842,19.582
162.49,137.13,2.023,8.697,8.641,7.724,9.388,2483.8,51.883,56.457,53.281,47.293,0.649,1.508,70.958,19.525
162.59,137.33,2.008,8.67,8.612,7.658,9.412,2483.8,51.937,56.48,53.293,47.301,0.645,1.513,70.958,19.651
162.36,137.33,2,8.653,8.594,7.701,9.392,2484,51.965,56.5,53.293,47.293,0.637,1.515,70.925,19.587
162.59,137.17,2.023,8.702,8.632,7.555,9.368,2485.4,51.977,56.488,53.277,47.289,0.635,1.509,70.925,19.582
162.39,137.3,1.867,8.724,8.663,7.833,9.359,2483.4,52.051,56.484,53.191,47.371,0.64,1.469,70.799,19.091
162.53,137.19,2.008,8.707,8.65,7.588,9.346,2485.6,52.059,56.508,53.203,47.359,0.636,1.47,70.799,19.101
162.42,137.12,1.969,8.691,8.629,11.049,9.377,2482,52.043,56.527,53.199,47.371,0.624,1.467,82.275,19.101
152.61,127.37,2.078,8.688,8.626,7.735,9.392,2352.2,52.051,56.574,53.191,47.301,0.618,1.496,82.275,19.378
152.63,127.23,1.969,8.693,8.638,7.697,9.372,2349.8,52.047,56.578,53.215,47.277,0.619,1.496,70.024,19.396
152.68,127.27,1.937,8.701,8.63,7.735,9.352,2350,51.957,56.566,53.199,47.277,0.614,1.493,70.024,19.388
152.67,127.21,1.883,8.708,8.648,7.777,9.321,2351.4,51.969,56.562,53.191,47.293,0.605,1.491,70.045,19.409
152.57,127.45,1.867,8.693,8.63,7.784,9.354,2349.4,51.977,56.555,53.191,47.289,0.601,1.492,70.045,19.371
152.75,127.24,1.937,8.691,8.637,7.764,9.392,2347.8,51.969,56.551,53.211,47.289,0.596,1.5,69.778,19.378
152.7,127.3,1.977,8.69,8.631,7.814,9.392,2348,51.977,56.551,53.203,47.281,0.605,1.493,69.778,19.404
152.52,127.06,2.047,8.686,8.632,7.73,9.39,2349.8,51.957,56.547,53.211,47.293,0.608,1.493,69.739,19.365
152.64,127.16,1.945,8.708,8.641,7.594,9.35,2348,51.98,56.535,53.203,47.289,0.605,1.499,69.739,19.435
152.66,127.31,1.844,8.725,8.666,9.216,9.357,2349.4,51.969,56.512,53.297,47.289,0.593,1.501,70.41,19.409
147.6,122.05,2.023,8.715,8.656,7.823,9.368,2280.4,51.953,56.539,53.211,47.293,0.597,1.487,70.41,19.383
147.97,122.49,1.977,8.688,8.626,7.815,9.364,2280,51.969,56.535,53.211,47.289,0.587,1.49,70.06,19.435
147.95,122.65,2.055,8.677,8.612,7.829,9.379,2285.4,51.883,56.496,53.203,47.207,0.586,1.515,70.06,19.652
147.95,122.53,2.187,8.656,8.606,7.934,9.35,2287.2,51.898,56.488,53.285,47.199,0.583,1.54,70.788,19.901
147.83,122.59,1.945,8.688,8.626,7.923,9.349,2283.8,51.883,56.496,53.285,47.195,0.582,1.53,70.788,19.863
147.88,122.35,2.078,8.731,8.666,7.817,9.342,2284,51.898,56.461,53.277,47.281,0.587,1.51,69.54,19.63
147.67,122.27,2.117,8.724,8.66,7.808,9.348,2283.6,51.875,56.496,53.297,47.301,0.582,1.506,69.54,19.623
147.47,121.97,2.055,8.684,8.611,7.758,9.355,2281.6,51.883,56.488,53.285,47.289,0.583,1.513,69.276,19.592
147.4,121.92,1.953,8.675,8.597,7.727,9.361,2278.2,51.887,56.484,53.297,47.281,0.585,1.511,69.276,19.63
147.43,121.99,1.977,8.648,8.579,7.768,9.363,2283.6,51.887,56.488,53.285,47.266,0.59,1.515,69.368,19.694
147.52,122.28,2.078,8.701,8.631,7.787,9.373,2283.2,51.883,56.5,53.297,47.25,0.621,1.517,69.368,19.694
189.98,0.055,0,8.715,8.65,0.003,9.345,2778.2,51.816,56.512,53.324,47.254,0.66,1.53,0,19.822
190.26,0,0,8.707,8.641,0.001,9.334,2845.6,51.727,56.508,53.32,47.254,0.692,1.528,0,19.791
190.23,0,0,8.684,8.622,0.001,9.346,2842,51.687,56.434,53.32,47.262,0.708,1.531,0,19.827
190.19,0,0,8.668,8.607,0.003,9.369,2843.8,51.637,56.418,53.348,47.254,0.727,1.533,0,19.786
190.31,0,0,8.687,8.621,0.003,9.351,2845.6,51.57,56.336,53.387,47.262,0.805,1.541,0,19.927
190.25,0,0,8.707,8.642,0,9.348,2845.4,51.488,56.305,53.379,47.266,0.801,1.539,0,19.858
190.12,0,0,8.727,8.666,0.004,9.354,2842.2,51.465,56.238,53.391,47.254,0.798,1.525,0,19.927
190.23,0,0,8.713,8.651,0.009,9.366,2843.8,51.391,56.254,53.375,47.34,0.789,1.512,0,19.583
190.52,0,0,8.686,8.624,0.005,9.348,2847.2,51.305,56.234,53.375,47.367,0.756,1.514,77.947,19.603
149.18,121.57,3.094,8.665,8.604,11.016,9.355,2394.6,51.305,56.176,53.375,47.273,0.701,1.536,77.947,19.801
142.47,116.88,2.023,8.68,8.62,7.792,9.358,2214,51.301,56.187,53.379,47.281,0.664,1.541,68.776,19.866
142.77,117.23,1.969,8.7,8.632,7.796,9.381,2213.6,51.277,56.195,53.367,47.281,0.637,1.531,68.776,19.826
142.36,117.03,1.945,8.713,8.658,7.796,9.332,2210.4,51.305,56.242,53.379,47.277,0.619,1.533,68.781,19.811
142.68,117.19,2.047,8.701,8.637,7.804,9.327,2210,51.391,56.25,53.367,47.289,0.623,1.535,68.781,19.801
142.33,117.1,2.086,8.684,8.62,7.778,9.333,2213.4,51.437,56.238,53.379,47.281,0.615,1.533,68.702,19.814
142.48,117.01,1.969,8.661,8.599,7.813,9.363,2213.8,51.465,56.238,53.352,47.371,0.623,1.515,68.702,19.565
142.52,117.01,2,8.675,8.616,7.768,9.354,2211.6,51.543,56.242,53.379,47.437,0.611,1.519,68.591,19.406
142.84,117.41,1.953,8.685,8.628,7.779,9.365,2209.8,51.637,56.238,53.445,47.445,0.613,1.512,68.591,19.482
142.41,116.89,2.078,8.726,8.663,5.969,9.348,2213.2,51.637,56.242,53.445,47.445,0.618,1.519,64.732,19.498
152.87,127.52,2.008,8.729,8.675,7.837,9.336,2353.6,51.687,56.262,53.453,47.426,0.613,1.513,64.732,19.457
152.76,127.44,1.859,8.708,8.66,7.723,9.367,2350.2,51.723,56.297,53.461,47.344,0.618,1.534,70.005,19.801
152.73,127.16,2.117,8.686,8.634,7.802,9.374,2351.8,51.727,56.309,53.461,47.371,0.621,1.537,70.005,19.776
152.7,127.41,2.055,8.665,8.611,7.839,9.373,2351.4,51.742,56.332,53.461,47.355,0.624,1.537,70.016,19.791
152.79,127.23,1.922,8.689,8.624,7.786,9.339,2347.6,51.73,56.305,53.457,47.371,0.625,1.536,70.016,19.746
152.86,127.43,1.922,8.731,8.667,7.641,9.351,2349.8,51.727,56.309,53.457,47.453,0.621,1.515,69.905,19.429
152.64,127.16,2.109,8.743,8.683,7.674,9.357,2351.2,51.723,56.371,53.375,47.453,0.626,1.499,69.905,19.286
152.59,127.12,1.953,8.717,8.653,7.809,9.375,2348,51.73,56.363,53.379,47.445,0.63,1.498,69.827,19.293
152.67,127.38,2.047,8.707,8.637,7.833,9.405,2347.8,51.805,56.387,53.375,47.512,0.634,1.48,69.827,19.077
152.63,127.29,2.031,8.687,8.628,4.467,9.387,2349.6,51.805,56.406,53.379,47.504,0.632,1.477,57.137,18.999
162.33,137.24,1.937,8.705,8.632,7.611,9.374,2479.4,51.793,56.398,53.367,47.5,0.638,1.483,57.137,19.036
162.72,137.44,1.945,8.72,8.655,7.82,9.354,2481.6,51.887,56.414,53.359,47.453,0.647,1.484,70.847,19.181
162.44,137.16,2.055,8.736,8.663,7.639,9.369,2481.6,51.883,56.473,53.352,47.461,0.649,1.484,70.847,19.194
162.6,137.19,1.937,8.702,8.644,7.714,9.358,2483.8,51.883,56.484,53.285,47.453,0.645,1.472,70.706,18.981
162.45,137.25,1.945,8.689,8.635,7.673,9.359,2481.8,51.887,56.496,53.297,47.461,0.64,1.475,70.706,19.039
162.5,137.25,1.945,8.685,8.622,7.609,9.37,2480,51.965,56.484,53.293,47.492,0.657,1.462,70.73,18.874
162.31,137.25,1.937,8.683,8.62,7.738,9.354,2479.6,51.965,56.496,53.305,47.504,0.654,1.459,70.73,18.874
162.41,136.93,2.055,8.707,8.656,7.724,9.346,2480,51.965,56.508,53.285,47.504,0.651,1.462,70.972,18.872
162.4,137.19,2,8.702,8.637,7.644,9.354,2481.8,52.031,56.566,53.293,47.504,0.646,1.458,70.972,18.935
162.66,137.22,2.031,8.708,8.639,11.001,9.366,2478,52.035,56.574,53.309,47.5,0.636,1.459,82.111,18.943
152.69,127.12,2.031,8.684,8.631,7.768,9.381,2350.2,52.035,56.566,53.281,47.484,0.626,1.465,82.111,18.861
152.62,127.29,2.195,8.656,8.601,7.851,9.365,2346.2,52.051,56.602,53.293,47.437,0.618,1.469,69.979,19.057
152.64,127.4,1.953,8.682,8.635,7.768,9.374,2344.2,51.953,56.602,53.285,47.453,0.624,1.476,69.979,19.001
152.77,127.19,1.867,8.708,8.644,7.794,9.341,2347.8,51.969,56.566,53.266,47.367,0.61,1.496,69.871,19.268
152.73,127.38,1.969,8.713,8.656,7.724,9.355,2347.6,51.969,56.574,53.293,47.367,0.603,1.499,69.871,19.342
152.57,127.38,2.055,8.694,8.637,7.626,9.354,2347.8,51.957,56.578,53.293,47.371,0.602,1.492,70.034,19.324
152.63,127.23,2.172,8.682,8.627,7.626,9.382,2349.6,51.949,56.574,53.293,47.449,0.6,1.484,70.034,19.019
152.62,127.14,2.062,8.663,8.599,7.628,9.361,2347.6,51.957,56.496,53.297,47.437,0.609,1.479,69.686,19.039
152.54,127.14,1.953,8.677,8.622,7.801,9.361,2349.6,51.969,56.574,53.27,47.445,0.606,1.467,69.686,18.996
152.44,127.12,1.914,8.713,8.648,9.571,9.361,2347.8,51.977,56.566,53.281,47.449,0.612,1.473,70.743,19.019
147.61,122.12,2.086,8.697,8.641,7.825,9.342,2281.6,51.887,56.555,53.281,47.426,0.61,1.49,70.743,19.301
147.38,121.91,1.977,8.72,8.648,7.82,9.374,2283.4,51.883,56.562,53.285,47.371,0.6,1.487,69.894,19.276
147.48,122.08,1.992,8.672,8.621,7.852,9.376,2283.6,51.898,56.547,53.32,47.379,0.594,1.497,69.894,19.345
147.29,122.08,1.977,8.673,8.609,7.926,9.374,2285.6,51.891,56.535,53.312,47.289,0.59,1.518,70.781,19.612
147.62,122.1,2.031,8.668,8.618,7.926,9.349,2283.8,51.887,56.512,53.32,47.277,0.584,1.524,70.781,19.628
147.56,122,2.156,8.691,8.634,7.801,9.351,2283.8,51.883,56.527,53.32,47.301,0.604,1.526,69.632,19.643
147.56,122.16,1.977,8.7,8.645,7.776,9.355,2285.2,51.887,56.5,53.312,47.371,0.592,1.496,69.632,19.447
147.75,122.43,1.953,8.71,8.656,7.813,9.347,2283.6,51.887,56.484,53.309,47.359,0.586,1.506,69.438,19.43
147.44,122.31,2.055,8.688,8.627,7.774,9.355,2281.4,51.902,56.5,53.336,47.355,0.584,1.503,69.438,19.476
147.56,122.15,2.031,8.666,8.616,7.705,9.361,2281.4,51.887,56.48,53.324,47.352,0.587,1.507,69.233,19.47
147.34,121.92,1.937,8.684,8.624,7.714,9.361,2279.8,51.887,56.52,53.375,47.34,0.624,1.51,69.233,19.434
189.88,0.234,0,8.707,8.653,0.001,9.349,2775.6,51.875,56.5,53.375,47.254,0.662,1.54,0,19.852
190.33,0,0,8.714,8.656,0.003,9.337,2844,51.766,56.5,53.375,47.266,0.685,1.539,0,19.831
190.38,0,0,8.674,8.619,0.005,9.347,2844,51.699,56.508,53.375,47.262,0.697,1.541,0,19.852
190.3,0,0.031,8.646,8.589,0.006,9.371,2845.6,51.637,56.426,53.367,47.254,0.71,1.543,0,19.869
190.28,0,0,8.66,8.597,0.003,9.354,2842.2,51.566,56.402,53.367,47.262,0.714,1.541,0,19.783
190.15,0,0.008,8.674,8.611,0.001,9.357,2845.2,51.473,56.336,53.309,47.34,0.722,1.508,0,19.485
190.3,0,0,8.707,8.649,0,9.319,2843.6,51.465,56.289,53.312,47.426,0.777,1.483,0,19.116
190.34,0,0.031,8.715,8.656,0,9.326,2844,51.449,56.25,53.309,47.418,0.775,1.483,0,19.131
190.44,0,0,8.689,8.633,0,9.341,2844.2,51.398,56.242,53.312,47.453,0.747,1.47,67.886,19.008
